Flow_ID,Dur,RunTime,Mean,Sum,Min,Max,sTos,dTos,sTtl,dTtl,sHops,dHops,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,SrcGap,DstGap,Rate,SrcRate,DstRate,SrcWin,DstWin,sVid,dVid,SrcTCPBase,DstTCPBase,TcpRtt,SynAck,AckDat,Label,Attack Type,Attack Tool, *        , *    V   , *    f   , e        , e    f   , e &      , e *      , e d      , e g      , e i      , e r      , e s      , eU       ,e        ,arp,icmp,ipv6-icmp,llc,lldp,sctp,tcp,udp,ACC,CON,ECO,FIN,INT,NRS,REQ,RSP,RST,TST,URP,Shutdown,Start,Status,39,4,52,54,af11,af12,af41,cs0,cs4,cs6,cs7,ef,nan,Window_ID,Window_Size
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,58.0,,6.0,,1,1,0,98,98,0,128,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,58.0,,6.0,,1,1,0,98,98,0,232,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
3,4.99802,4.99802,4.99802,4.99802,4.99802,4.99802,0.0,0.0,117.0,64.0,11.0,0.0,214,196,18,249093,244212,4881,336,1245.979614,271.166656,396280.125,388901.1875,7378.921875,0,0,0,0.0,,,42.616875,39.01545,3.401347,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
4,4.998037,4.998037,4.998037,4.998037,4.998037,4.998037,0.0,0.0,117.0,64.0,11.0,0.0,184,163,21,221712,216245,5467,440,1326.656494,260.333344,352339.9375,344005.4688,8334.472656,0,0,0,0.0,,,36.614376,32.412727,4.001571,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
5,4.999453,4.999453,4.999453,4.999453,4.999453,4.999453,0.0,0.0,117.0,64.0,11.0,0.0,223,204,19,280216,275723,4493,544,1351.583374,236.473679,445855.1563,439043.2188,6811.945312,0,0,0,0.0,,,44.404858,40.604443,3.600394,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
6,4.997818,4.997818,4.997818,4.997818,4.997818,4.997818,0.0,0.0,117.0,64.0,11.0,0.0,235,219,16,297653,292879,4774,648,1337.347046,298.375,473835.5938,466670.8438,7164.726562,0,0,0,0.0,,,46.820431,43.619034,3.00131,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5
7,0.089686,0.089686,0.089686,0.089686,0.089686,0.089686,0.0,0.0,64.0,53.0,0.0,11.0,13,7,6,2601,779,1822,752,111.285713,303.666656,195080.6094,59585.66797,135494.9531,0,0,0,0.0,,,133.800156,66.900078,55.750061,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5
8,0.059931,0.059931,0.059931,0.059931,0.059931,0.059931,0.0,0.0,64.0,117.0,0.0,11.0,6,3,3,748,548,200,848,182.666672,66.666664,66743.42188,48856.1875,17887.23828,0,0,0,0.0,,,83.429276,33.371712,33.371712,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,58.0,,6.0,,1,1,0,98,98,0,944,98.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5
10,0.217919,0.217919,0.217919,0.217919,0.217919,0.217919,0.0,0.0,64.0,53.0,0.0,11.0,22,13,9,13163,8366,4797,1048,643.538452,533.0,440053.4063,283518.1875,156535.2188,0,0,0,0.0,,,96.366081,55.06633,36.710888,,,,,,,0.0,0.0,0.0,Benign,Benign,Benign,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5
