Rank,Feature,Importance
1,DstBytes,0.4324402612907128
2,dTos,0.06048162627361348
3,Offset,0.04703067454767372
4,DstWin,0.029694401205593933
5,dVid,0.028896254129860903
6,sctp,0.027704482002531804
7,dTtl,0.027646002477599185
8, *    f   ,0.026382746126187868
9,DstTCPBase,0.020868528566222372
10,TcpRtt,0.0176866436683554
11,SrcTCPBase,0.017105708586107403
12,TotBytes,0.01619043953894448
13, *    V   ,0.01595742396505586
14,DstPkts,0.01431396393357476
15,SynAck,0.013485924557551026
16,dMeanPktSz,0.013240116514685674
17,Load,0.012203945233951114
18,Rate,0.012106729443787167
19,sTtl,0.011756308184346831
20,DstGap,0.010175054339931109
21,DstRate,0.0099093267940161
22,NRS,0.009837172655248763
23,Start,0.009359349467582274
24,Min,0.008457060534373834
25,Mean,0.008401523091831559
26,sHops,0.008318200358393715
27,RunTime,0.00827900239298082
28,Dur,0.008062166897478866
29,tcp,0.007851479060045494
30,Sum,0.007791093287973807
31,SrcWin,0.007407335254541319
32,FIN,0.006519684846723614
33,CON,0.005883433273585771
34,arp,0.005798851331283743
35,Shutdown,0.005288814729767526
36,SrcBytes,0.004050101183181889
37,TotPkts,0.00364377945169621
38,dHops,0.0030436142314789827
39,sMeanPktSz,0.0024779845292206594
40,SrcRate,0.0021906431317224016
41,SrcPkts,0.0020143437168926425
42,Loss,0.0013040543377319878
43,RSP,0.0012682824286244215
44, e r      ,0.0012419386146900026
45,DstLoss,0.0011963020378680908
46,ACC,0.0011268704096505774
47,DstLoad,0.0009259516692209088
48,SrcLoad,0.000739362378961098
49, e        ,0.0006749118746286878
50,af41,0.00028211438279024793
51,ECO,0.00016978327655714273
52, e i      ,0.00014206759155609592
53,Max,0.00012627270107255626
54,sTos,0.00012105377542288078
55, e g      ,0.00012104157796596626
56,udp,0.00010230924894178678
57, e *      ,9.061576854697863e-05
58,lldp,7.66681715448463e-05
59,cs7,6.902571665425216e-05
60,SrcLoss,6.151121771402814e-05
61,ef,4.5439264950331426e-05
62,llc,3.09520620936426e-05
63,sVid,2.5178220775737988e-05
64,cs4,2.4927588038508837e-05
65, e s      ,2.3566312604404098e-05
66,af12,2.3153575503170584e-05
67,TST,7.624736407891114e-06
68,4,7.099502819060687e-06
69,e        ,4.614613346816819e-06
70,REQ,4.223596773737649e-06
71,af11,3.2039722680028434e-06
72,RST,3.094922918962201e-06
73,39,2.170687400600805e-06
74, *        ,1.1655333821348517e-06
75,SrcGap,8.193794164361289e-07
76,ipv6-icmp,4.108322965757546e-07
77,cs0,2.3143591483593666e-08
78,URP,4.4850312197149915e-11
79,cs6,2.319143286883439e-11
80, e &      ,9.213005193930849e-13
81,54,5.9543056445945445e-21
82,icmp,0.0
83, eU       ,0.0
84, e    f   ,0.0
85, e d      ,0.0
86,pLoss,0.0
87,INT,0.0
88,52,0.0
89,Status,0.0
