Rank,Feature,Importance
1,Dur,0.0
2,RunTime,0.0
3,Mean,0.0
4,Sum,0.0
5,Min,0.0
6,Max,0.0
7,sTos,0.0
8,dTos,0.0
9,sTtl,0.0
10,dTtl,0.0
11,sHops,0.0
12,dHops,0.0
13,TotPkts,0.0
14,SrcPkts,0.0
15,DstPkts,0.0
16,TotBytes,0.0
17,SrcBytes,0.0
18,DstBytes,0.0
19,Offset,0.0
20,sMeanPktSz,0.0
21,dMeanPktSz,0.0
22,Load,0.0
23,SrcLoad,0.0
24,DstLoad,0.0
25,Loss,0.0
26,SrcLoss,0.0
27,DstLoss,0.0
28,pLoss,0.0
29,SrcGap,0.0
30,DstGap,0.0
31,Rate,0.0
32,SrcRate,0.0
33,DstRate,0.0
34,SrcWin,0.0
35,DstWin,0.0
36,sVid,0.0
37,dVid,0.0
38,SrcTCPBase,0.0
39,DstTCPBase,0.0
40,TcpRtt,0.0
41,SynAck,0.0
42,AckDat,0.0
43,e        ,0.0
44,e        ,0.0
45,arp,0.0
46,icmp,0.0
47,ipv6-icmp,0.0
48,llc,0.0
49,lldp,0.0
50,sctp,0.0
51,tcp,0.0
52,udp,0.0
53,ACC,0.0
54,CON,0.0
55,ECO,0.0
56,FIN,0.0
57,INT,0.0
58,NRS,0.0
59,REQ,0.0
60,RSP,0.0
61,RST,0.0
62,TST,0.0
63,URP,0.0
64,Shutdown,0.0
65,Start,0.0
66,Status,0.0
67,39,0.0
68,4,0.0
69,52,0.0
70,54,0.0
71,af11,0.0
72,af12,0.0
73,af41,0.0
74,cs0,0.0
75,cs4,0.0
76,cs6,0.0
77,cs7,0.0
78,ef,0.0
79,nan,0.0
