Flow_ID,Node_ID,Protocol,Distance_m,RSRP_dBm,SINR_dB,Dur,RunTime,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,sMeanPktSz,dMeanPktSz,Rate,SrcRate,DstRate,Load,sTtl,dTtl,SrcWin,DstWin,TcpRtt,SynAck,AckDat,Offset,Loss,pLoss,Attack_Type,Attack_Tool,Label,Label_Binary
3400,UE_7,tcp,413,-59.7,34.37,0.0851,0.0851,348,348,0,13920,13920,0,40,0,4089.31,4089.31,0,1308578.14,128,0,1024,0,0,0,0,0,348,100,SYNFlood,Hping3,Malicious,1
4835,UE_10,tcp,440.7,-54.86,39.6,45.36,45.36,18,10,8,571,251,320,25.1,40,0.4,0.22,0.18,100.71,64,64,512,16384,0.1321,0.0793,0.0528,128,0,0,SlowrateDoS,Slowloris,Malicious,1
4382,UE_9,tcp,409.2,-55.58,38.54,0.0023,0.0023,1,1,0,44,44,0,44,0,434.78,434.78,0,153043.48,52,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
489,UE_1,tcp,146.1,-44.94,47.93,3.476,3.476,70,33,37,53469,6079,47390,184.2,1280.8,20.14,9.49,10.64,123058.69,64,64,65535,65535,0.0283,0.0142,0.0142,307,0,0,Benign,None,Benign,0
308,UE_1,tcp,146.1,-44.3,48.48,3.356,3.356,40,12,28,35595,2852,32743,237.7,1169.4,11.92,3.58,8.34,84851.01,64,64,65535,65535,0.0154,0.0077,0.0077,373,0,0,Benign,None,Benign,0
4356,UE_9,tcp,409.2,-55,37.96,0.0028,0.0028,1,1,0,44,44,0,44,0,357.14,357.14,0,125714.29,59,0,1024,0,0,0,0,0,1,100,SYNScan,Nmap,Malicious,1
4602,UE_10,tcp,440.7,-55.11,39.7,60.21,60.21,18,8,10,720,320,400,40,40,0.3,0.13,0.17,95.67,64,64,512,16384,0.1759,0.1055,0.0704,128,0,0,SlowrateDoS,Slowloris,Malicious,1
2921,UE_6,tcp,321,-51.09,38.83,1.759,1.759,40,19,21,20739,6306,14433,331.9,687.3,22.74,10.8,11.94,94321.77,64,64,65535,65535,0.0382,0.0191,0.0191,150,0,0,Benign,None,Benign,0
2693,UE_6,tcp,321,-50.87,40.02,1.283,1.283,70,44,26,33588,20310,13278,461.6,510.7,54.56,34.29,20.27,209434.14,64,64,65535,65535,0.0446,0.0223,0.0223,326,0,0,Benign,None,Benign,0
1589,UE_4,udp,116.4,-41.37,52.78,0.096,0.096,3,2,1,235,185,50,92.7,50.4,31.25,20.83,10.42,19583.33,64,64,0,0,0,0,0,490,0,0,Benign,None,Benign,0
4954,UE_10,tcp,440.7,-54.07,40.03,49.54,49.54,25,16,9,880,520,360,32.5,40,0.5,0.32,0.18,142.11,64,64,512,16384,0.1058,0.0635,0.0423,128,0,0,SlowrateDoS,Slowloris,Malicious,1
