Rank,Feature,Importance
1,DstBytes,0.4324402612907128
2,dTos,0.06048162627361348
3,Offset,0.04703067454767372
4,DstWin,0.029694401205593933
5,dVid,0.028896254129860903
6,sctp,0.027704482002531804
7,dTtl,0.027646002477599185
8, *    f   ,0.026382746126187868
9,DstTCPBase,0.020868528566222372
10,TcpRtt,0.0176866436683554
11,SrcTCPBase,0.017105708586107403
12,TotBytes,0.01619043953894448
13, *    V   ,0.01595742396505586
14,DstPkts,0.01431396393357476
15,SynAck,0.013485924557551026
16,dMeanPktSz,0.013240116514685674
17,Load,0.012203945233951114
18,Rate,0.012106729443787167
19,sTtl,0.011756308184346831
20,DstGap,0.010175054339931109
